# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  2 16:07:55 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
#
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
1,11 Com,b,1,326.03000000,0.32000000,-0.32000000,0,19.40000,1.50000,-1.50000,0,,,,
2,11 UMi,b,1,516.22000000,3.25000000,-3.25000000,0,10.50000,2.47000,-2.47000,0,,,,
3,14 And,b,1,185.84000000,0.23000000,-0.23000000,0,4.80000,,,0,,,,
4,14 Her,b,1,1773.40000000,2.50000000,-2.50000000,0,4.64000,0.19000,-0.19000,0,,,,
5,16 Cyg B,b,1,798.50000000,1.00000000,-1.00000000,0,1.68000,0.15000,-0.15000,0,,,,
6,18 Del,b,1,993.30000000,3.20000000,-3.20000000,0,10.30000,,,0,,,,
7,1RXS J160929.1-210524,b,1,,,,,8.00000,1.00000,-1.00000,0,,,,
8,24 Sex,b,2,452.80000000,2.10000000,-4.50000000,0,1.99000,0.26000,-0.38000,0,,,,
9,24 Sex,c,2,883.00000000,32.40000000,-13.80000000,0,0.86000,0.35000,-0.22000,0,,,,
10,2MASS J01225093-2439505,b,1,,,,,24.50000,2.50000,-2.50000,0,,,,
11,2MASS J02192210-3925225,b,1,,,,,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0
12,2MASS J04414489+2301513,b,1,,,,,7.50000,2.50000,-2.50000,0,,,,
13,2MASS J12073346-3932539,b,1,,,,,4.00000,1.00000,-1.00000,0,,,,
14,2MASS J19383260+4603591,b,1,416.00000000,2.00000000,-2.00000000,0,1.90000,0.10000,-0.10000,0,,,,
15,2MASS J21402931+1625183 A,b,1,7336.50000000,1934.50000000,-584.00000000,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0
